# tau_n,Omegabh2,p_npdg,p_dpHe3g,Yp,DoH,He3oH,Li7oH
8.795828e+02,2.229111e-02,-4.519510e-01,1.249023e+00,2.470347e-01,2.508847e+00,1.057657e+00,5.405918e+00
8.787760e+02,2.219061e-02,-6.658777e-01,6.876922e-01,2.468245e-01,2.536720e+00,1.054655e+00,5.303902e+00
8.798503e+02,2.223783e-02,4.340098e-01,1.966127e+00,2.470815e-01,2.500925e+00,1.065460e+00,5.478591e+00
8.799643e+02,2.239509e-02,2.518544e-01,-1.547833e+00,2.471608e-01,2.542636e+00,1.030999e+00,5.257024e+00
8.782294e+02,2.230045e-02,-1.404792e+00,-2.653601e-01,2.467577e-01,2.537028e+00,1.043029e+00,5.256717e+00
8.786187e+02,2.235103e-02,1.122678e+00,-4.625214e-01,2.468621e-01,2.525346e+00,1.041414e+00,5.348100e+00
8.794767e+02,2.240051e-02,-9.419458e-02,-1.973683e+00,2.470646e-01,2.546647e+00,1.026807e+00,5.218278e+00
8.792103e+02,2.224377e-02,-1.110931e+00,1.060327e+00,2.469359e-01,2.522265e+00,1.056442e+00,5.348813e+00
8.793899e+02,2.241344e-02,1.188784e+00,-2.703966e-01,2.470489e-01,2.510504e+00,1.041678e+00,5.399555e+00
8.788882e+02,2.235683e-02,6.256756e-01,7.396312e-01,2.469257e-01,2.501683e+00,1.051233e+00,5.443818e+00
8.799276e+02,2.211478e-02,-1.264542e+00,2.359772e+00,2.470318e-01,2.520049e+00,1.071256e+00,5.391993e+00
8.798667e+02,2.251635e-02,1.777183e+00,-3.532437e-01,2.471972e-01,2.492116e+00,1.038490e+00,5.472416e+00
8.794396e+02,2.222489e-02,6.587974e-01,-4.211530e-01,2.469790e-01,2.553824e+00,1.045168e+00,5.267360e+00
8.800763e+02,2.205174e-02,-1.019612e-02,1.186642e-01,2.470308e-01,2.574752e+00,1.053906e+00,5.206532e+00
8.796805e+02,2.214324e-02,1.590219e+00,9.872474e-01,2.469958e-01,2.535165e+00,1.059661e+00,5.381255e+00
8.788844e+02,2.214684e-02,1.592978e-01,-5.667130e-01,2.468278e-01,2.564966e+00,1.045128e+00,5.208677e+00
8.796213e+02,2.230783e-02,-2.808308e-02,-6.309616e-01,2.470555e-01,2.538531e+00,1.040465e+00,5.280461e+00
8.788247e+02,2.225892e-02,-6.603001e-01,1.057189e+00,2.468621e-01,2.516591e+00,1.056092e+00,5.369613e+00
8.799271e+02,2.224948e-02,5.818504e-01,3.786393e-01,2.470929e-01,2.529485e+00,1.051240e+00,5.348746e+00
